calibrator_threshold,min_component_voxels,n_cases,mean_dice_all,mean_dice_positive,mean_dice_gt50,n_positive,n_gt50,n_missed_positive,n_empty_false_positive,mean_dice_empty,n_empty,mean_dice_very_tiny,n_very_tiny,mean_dice_tiny,n_tiny,mean_dice_small,n_small,mean_dice_large,n_large
0.02,0,111,0.47765710869499745,0.5457566525021927,0.5442864531959166,66,64,0,28,0.37777777777777777,45,0.5928030303030303,2,0.36441965959080863,24,0.5499749672198849,18,0.7358505347455145,22
0.02,5,111,0.5133033609282961,0.5451011070157704,0.5436104219130435,66,64,3,24,0.4666666666666667,45,0.5928030303030303,2,0.3625410491293149,24,0.5500225471158005,18,0.735894362511219,22
0.02,10,111,0.5401320749068089,0.5447675805250877,0.5432664727195269,66,64,4,21,0.5333333333333333,45,0.5928030303030303,2,0.36184565029283267,24,0.5497700520990747,18,0.7358589867835633,22
0.02,20,111,0.5927643948311876,0.5423764822160883,0.5408006525883713,66,64,6,15,0.6666666666666666,45,0.5928030303030303,2,0.35437484416915677,24,0.5504877508847351,18,0.736248454075944,22
0.05,0,111,0.48675018285891253,0.545898034808171,0.5444322536989566,66,64,1,27,0.4,45,0.5928030303030303,2,0.3648034597487467,24,0.5499414292235857,18,0.7358834307608526,22
0.05,5,111,0.5133611231767665,0.5451982526154708,0.5437106033127346,66,64,3,24,0.4666666666666667,45,0.5928030303030303,2,0.36273747533361805,24,0.5500728349933738,18,0.7359303715512475,22
0.05,10,111,0.5401395517988508,0.5447801552980671,0.5432794404541621,66,64,4,21,0.5333333333333333,45,0.5928030303030303,2,0.36184565029283267,24,0.5497700520990747,18,0.735896711102502,22
0.05,20,111,0.5927643948311876,0.5423764822160883,0.5408006525883713,66,64,6,15,0.6666666666666666,45,0.5928030303030303,2,0.35437484416915677,24,0.5504877508847351,18,0.736248454075944,22
0.1,0,111,0.5047905594591702,0.5459356378783012,0.5444710318650284,66,64,1,25,0.4444444444444444,45,0.5928030303030303,2,0.36480270259602476,24,0.5498948313734698,18,0.7360351914697622,22
0.1,5,111,0.5224714094489598,0.545368582558099,0.5438862560660697,66,64,3,23,0.4888888888888889,45,0.5928030303030303,2,0.3631619459549547,24,0.5499962916358087,18,0.736040928902954,22
0.1,10,111,0.5492899024475429,0.5450178662375342,0.5435245798604874,66,64,4,20,0.5555555555555556,45,0.5928030303030303,2,0.3621643872103472,24,0.5500352133072873,18,0.7360451808405315,22
0.1,20,111,0.592786502285904,0.5424136629353841,0.5408389952051451,66,64,6,15,0.6666666666666666,45,0.5928030303030303,2,0.35437484416915677,24,0.5504877508847351,18,0.7363599962338315,22
0.15,0,111,0.532700234975764,0.547420092156209,0.5439966670057875,66,64,2,22,0.5111111111111111,45,0.656969696969697,2,0.36330418556343796,24,0.5501099074709309,18,0.7361139954714154,22
0.15,5,111,0.5593549743002825,0.5467939719292629,0.5433509805217491,66,64,4,19,0.5777777777777777,45,0.656969696969697,2,0.36153436689363255,24,0.5501596978215888,18,0.7361256085070988,22
0.15,10,111,0.5773681546607987,0.5467858358689188,0.5433425902095195,66,64,4,17,0.6222222222222222,45,0.656969696969697,2,0.36148606754638984,24,0.5501210560285869,18,0.7361855065355148,22
0.15,20,111,0.6119816167230094,0.5443933250947584,0.5408753134736665,66,64,6,13,0.7111111111111111,45,0.656969696969697,2,0.35437484416915677,24,0.5505310044852387,18,0.7364302600691179,22
0.2,0,111,0.5484715525922582,0.543641550571828,0.5401000459968947,66,64,4,20,0.5555555555555556,45,0.656969696969697,2,0.35206238271510565,24,0.5508607438301993,18,0.7364278349861425,22
0.2,5,111,0.5755072117034603,0.5436560681679408,0.5401150172678859,66,64,5,17,0.6222222222222222,45,0.656969696969697,2,0.35210933752396506,24,0.5508372539821365,18,0.7364393833132308,22
0.2,10,111,0.5935606131668746,0.5437155766897437,0.5401763854309951,66,64,5,15,0.6666666666666666,45,0.656969696969697,2,0.35228334652150356,24,0.5508066535917595,18,0.7364531175643606,22
0.2,20,111,0.6102552715566639,0.5414899264059045,0.537881183575786,66,64,7,13,0.7111111111111111,45,0.656969696969697,2,0.3459158732674122,24,0.5510316299164996,18,0.7365384296334281,22
