Run log for fold 0
Device: cuda
AMP enabled: True
Staged tuning: True
Validation interval epochs: 1
Final validation: False
Best checkpoint metric: val_dice (max)
Output dir: /data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/checkpoints/tbi_multitalentv2/fold_0
Dataset summary: total=522, lesion_positive=302, lesion_empty=220, dmri=216
Train split summary: total=469, lesion_positive=271, lesion_empty=198, dmri=195
Val split summary: total=53, lesion_positive=31, lesion_empty=22, dmri=21
Case sampling: enabled=False, target_positive_fraction=nan, target_empty_fraction=nan, positive_weight=nan, empty_weight=nan, num_samples=469, replacement=True
phase	epoch	stage	train_loss	train_dice	val_loss	val_dice	monitor_metric	monitor_value	lr_head	lr_partial	lr_full
train	1	full	1.150103	0.333244	1.072942	0.383880	val_dice	0.383880	0.00000000	0.00000000	0.00005000
saved	1	full	1.150103	0.333244	1.072942	0.383880
train	2	full	1.041430	0.311961	1.022309	0.415094	val_dice	0.415094	0.00000000	0.00000000	0.00010000
saved	2	full	1.041430	0.311961	1.022309	0.415094
train	3	full	1.003277	0.132106	0.984261	0.084362	val_dice	0.084362	0.00000000	0.00000000	0.00010000
train	4	full	0.967835	0.139493	0.958102	0.107041	val_dice	0.107041	0.00000000	0.00000000	0.00009970
train	5	full	0.943672	0.162727	0.928748	0.117920	val_dice	0.117920	0.00000000	0.00000000	0.00009940
train	6	full	0.918472	0.155635	0.919467	0.109119	val_dice	0.109119	0.00000000	0.00000000	0.00009909
train	7	full	0.893535	0.155601	0.868894	0.171530	val_dice	0.171530	0.00000000	0.00000000	0.00009879
train	8	full	0.878732	0.172939	0.850814	0.199218	val_dice	0.199218	0.00000000	0.00000000	0.00009849
train	9	full	0.862838	0.175867	0.828547	0.296427	val_dice	0.296427	0.00000000	0.00000000	0.00009819
train	10	full	0.853062	0.171332	0.842071	0.195266	val_dice	0.195266	0.00000000	0.00000000	0.00009788
train	11	full	0.831716	0.206019	0.800446	0.238641	val_dice	0.238641	0.00000000	0.00000000	0.00009758
train	12	full	0.821067	0.226737	0.791171	0.230048	val_dice	0.230048	0.00000000	0.00000000	0.00009728
train	13	full	0.808468	0.243484	0.799856	0.224787	val_dice	0.224787	0.00000000	0.00000000	0.00009697
train	14	full	0.806047	0.254511	0.790985	0.283726	val_dice	0.283726	0.00000000	0.00000000	0.00009667
train	15	full	0.807503	0.227978	0.781626	0.238973	val_dice	0.238973	0.00000000	0.00000000	0.00009637
train	16	full	0.783474	0.260629	0.762582	0.306971	val_dice	0.306971	0.00000000	0.00000000	0.00009607
train	17	full	0.784330	0.284209	0.766427	0.248846	val_dice	0.248846	0.00000000	0.00000000	0.00009576
train	18	full	0.778944	0.286879	0.798762	0.345309	val_dice	0.345309	0.00000000	0.00000000	0.00009546
train	19	full	0.794201	0.263755	0.764439	0.251646	val_dice	0.251646	0.00000000	0.00000000	0.00009515
train	20	full	0.786138	0.252648	0.790562	0.373933	val_dice	0.373933	0.00000000	0.00000000	0.00009485
train	21	full	0.764479	0.298438	0.747026	0.338030	val_dice	0.338030	0.00000000	0.00000000	0.00009455
train	22	full	0.761672	0.326147	0.743201	0.284745	val_dice	0.284745	0.00000000	0.00000000	0.00009424
train	23	full	0.768645	0.282325	0.767831	0.243813	val_dice	0.243813	0.00000000	0.00000000	0.00009394
train	24	full	0.772085	0.277517	0.743031	0.267348	val_dice	0.267348	0.00000000	0.00000000	0.00009363
train	25	full	0.765180	0.285402	0.738303	0.289123	val_dice	0.289123	0.00000000	0.00000000	0.00009333
train	26	full	0.753970	0.337655	0.731571	0.314986	val_dice	0.314986	0.00000000	0.00000000	0.00009303
train	27	full	0.767038	0.302442	0.735093	0.424262	val_dice	0.424262	0.00000000	0.00000000	0.00009272
saved	27	full	0.767038	0.302442	0.735093	0.424262
train	28	full	0.755348	0.333075	0.717586	0.311545	val_dice	0.311545	0.00000000	0.00000000	0.00009242
train	29	full	0.754958	0.329256	0.722718	0.285255	val_dice	0.285255	0.00000000	0.00000000	0.00009211
train	30	full	0.744787	0.325331	0.718333	0.328417	val_dice	0.328417	0.00000000	0.00000000	0.00009181
train	31	full	0.758857	0.336808	0.731397	0.314944	val_dice	0.314944	0.00000000	0.00000000	0.00009150
train	32	full	0.762960	0.310598	0.738096	0.424684	val_dice	0.424684	0.00000000	0.00000000	0.00009120
saved	32	full	0.762960	0.310598	0.738096	0.424684
train	33	full	0.744111	0.383428	0.718028	0.311271	val_dice	0.311271	0.00000000	0.00000000	0.00009089
train	34	full	0.740166	0.400912	0.724971	0.492749	val_dice	0.492749	0.00000000	0.00000000	0.00009059
saved	34	full	0.740166	0.400912	0.724971	0.492749
train	35	full	0.743982	0.341770	0.703878	0.343627	val_dice	0.343627	0.00000000	0.00000000	0.00009028
train	36	full	0.741259	0.331859	0.695542	0.426089	val_dice	0.426089	0.00000000	0.00000000	0.00008998
train	37	full	0.737090	0.374346	0.722910	0.321382	val_dice	0.321382	0.00000000	0.00000000	0.00008967
train	38	full	0.738704	0.363028	0.776969	0.383675	val_dice	0.383675	0.00000000	0.00000000	0.00008936
train	39	full	0.752006	0.338460	0.719275	0.420397	val_dice	0.420397	0.00000000	0.00000000	0.00008906
train	40	full	0.725601	0.366191	0.706709	0.431753	val_dice	0.431753	0.00000000	0.00000000	0.00008875
train	41	full	0.745012	0.364296	0.724182	0.286796	val_dice	0.286796	0.00000000	0.00000000	0.00008845
train	42	full	0.744695	0.366314	0.712525	0.428042	val_dice	0.428042	0.00000000	0.00000000	0.00008814
train	43	full	0.727485	0.350501	0.718036	0.365294	val_dice	0.365294	0.00000000	0.00000000	0.00008783
