Run log for fold 0
Device: cuda
AMP enabled: True
Staged tuning: True
Validation interval epochs: 10
Final validation: True
Best checkpoint metric: train_dice (max)
Output dir: /data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/checkpoints/tbi_multitalentv2/fold_0
Dataset summary: total=552, lesion_positive=322, lesion_empty=230, dmri=229
Train split summary: total=441, lesion_positive=258, lesion_empty=183, dmri=183
Val split summary: total=111, lesion_positive=64, lesion_empty=47, dmri=46
Case sampling: enabled=False, target_positive_fraction=nan, target_empty_fraction=nan, positive_weight=nan, empty_weight=nan, num_samples=441, replacement=True
phase	epoch	stage	train_loss	train_dice	val_loss	val_dice	monitor_metric	monitor_value	lr_head	lr_partial	lr_full
train	1	head	1.136447	0.001091	nan	nan	train_dice	0.001091	0.00020000	0.00000000	0.00000000
train	2	head	1.014016	0.115662	nan	nan	train_dice	0.115662	0.00040000	0.00000000	0.00000000
train	3	head	1.007091	0.360544	nan	nan	train_dice	0.360544	0.00060000	0.00000000	0.00000000
train	4	head	1.005841	0.419501	nan	nan	train_dice	0.419501	0.00080000	0.00000000	0.00000000
train	5	head	1.005711	0.414966	nan	nan	train_dice	0.414966	0.00100000	0.00000000	0.00000000
train	6	head	1.005551	0.419501	nan	nan	train_dice	0.419501	0.00100000	0.00000000	0.00000000
train	7	head	1.004928	0.419501	nan	nan	train_dice	0.419501	0.00093979	0.00000000	0.00000000
train	8	head	1.004479	0.417234	nan	nan	train_dice	0.417234	0.00087916	0.00000000	0.00000000
train	9	head	1.004707	0.417234	nan	nan	train_dice	0.417234	0.00081805	0.00000000	0.00000000
train	10	head	1.003318	0.414966	1.000207	0.423423	train_dice	0.414966	0.00075643	0.00000000	0.00000000
train	11	head	1.003242	0.414966	nan	nan	train_dice	0.414966	0.00069425	0.00000000	0.00000000
train	12	head	1.002418	0.390032	nan	nan	train_dice	0.390032	0.00063145	0.00000000	0.00000000
train	13	head	1.001894	0.292520	nan	nan	train_dice	0.292520	0.00056794	0.00000000	0.00000000
train	14	head	1.001332	0.129449	nan	nan	train_dice	0.129449	0.00050362	0.00000000	0.00000000
train	15	head	1.001881	0.100325	nan	nan	train_dice	0.100325	0.00043838	0.00000000	0.00000000
train	16	head	1.001381	0.052485	nan	nan	train_dice	0.052485	0.00037204	0.00000000	0.00000000
train	17	head	1.001437	0.037176	nan	nan	train_dice	0.037176	0.00030435	0.00000000	0.00000000
train	18	head	1.001189	0.043696	nan	nan	train_dice	0.043696	0.00023492	0.00000000	0.00000000
train	19	head	1.001336	0.021238	nan	nan	train_dice	0.021238	0.00016310	0.00000000	0.00000000
train	20	head	1.000624	0.019497	0.998608	0.126130	train_dice	0.019497	0.00008740	0.00000000	0.00000000
train	21	partial	0.970592	0.048332	nan	nan	train_dice	0.048332	0.00000010	0.00003333	0.00000000
train	22	partial	0.937651	0.083622	nan	nan	train_dice	0.083622	0.00000010	0.00006667	0.00000000
train	23	partial	0.923990	0.097831	nan	nan	train_dice	0.097831	0.00000010	0.00010000	0.00000000
train	24	partial	0.892191	0.137954	nan	nan	train_dice	0.137954	0.00000010	0.00010000	0.00000000
train	25	partial	0.881083	0.142228	nan	nan	train_dice	0.142228	0.00000010	0.00009808	0.00000000
train	26	partial	0.859283	0.164180	nan	nan	train_dice	0.164180	0.00000010	0.00009616	0.00000000
train	27	partial	0.857410	0.175857	nan	nan	train_dice	0.175857	0.00000010	0.00009424	0.00000000
train	28	partial	0.838801	0.188387	nan	nan	train_dice	0.188387	0.00000010	0.00009231	0.00000000
train	29	partial	0.833264	0.200520	nan	nan	train_dice	0.200520	0.00000010	0.00009037	0.00000000
train	30	partial	0.825654	0.207704	0.829028	0.189534	train_dice	0.207704	0.00000010	0.00008843	0.00000000
train	31	partial	0.817503	0.213171	nan	nan	train_dice	0.213171	0.00000010	0.00008649	0.00000000
train	32	partial	0.802596	0.230580	nan	nan	train_dice	0.230580	0.00000010	0.00008454	0.00000000
train	33	partial	0.806432	0.224808	nan	nan	train_dice	0.224808	0.00000010	0.00008259	0.00000000
train	34	partial	0.787898	0.249530	nan	nan	train_dice	0.249530	0.00000010	0.00008063	0.00000000
train	35	partial	0.782978	0.252408	nan	nan	train_dice	0.252408	0.00000010	0.00007867	0.00000000
train	36	partial	0.784673	0.243715	nan	nan	train_dice	0.243715	0.00000010	0.00007670	0.00000000
train	37	partial	0.765156	0.273755	nan	nan	train_dice	0.273755	0.00000010	0.00007472	0.00000000
train	38	partial	0.761445	0.281684	nan	nan	train_dice	0.281684	0.00000010	0.00007274	0.00000000
train	39	partial	0.753823	0.287068	nan	nan	train_dice	0.287068	0.00000010	0.00007075	0.00000000
train	40	partial	0.760591	0.287590	0.785505	0.284318	train_dice	0.287590	0.00000010	0.00006876	0.00000000
train	41	partial	0.743414	0.340184	nan	nan	train_dice	0.340184	0.00000010	0.00006676	0.00000000
train	42	partial	0.741041	0.305230	nan	nan	train_dice	0.305230	0.00000010	0.00006475	0.00000000
train	43	partial	0.743834	0.300433	nan	nan	train_dice	0.300433	0.00000010	0.00006274	0.00000000
train	44	partial	0.740954	0.301452	nan	nan	train_dice	0.301452	0.00000010	0.00006072	0.00000000
train	45	partial	0.735270	0.313060	nan	nan	train_dice	0.313060	0.00000010	0.00005869	0.00000000
train	46	partial	0.724865	0.331139	nan	nan	train_dice	0.331139	0.00000010	0.00005666	0.00000000
train	47	partial	0.721788	0.355959	nan	nan	train_dice	0.355959	0.00000010	0.00005461	0.00000000
train	48	partial	0.721090	0.340006	nan	nan	train_dice	0.340006	0.00000010	0.00005256	0.00000000
train	49	partial	0.708795	0.360712	nan	nan	train_dice	0.360712	0.00000010	0.00005050	0.00000000
train	50	partial	0.712643	0.370929	0.756238	0.322452	train_dice	0.370929	0.00000010	0.00004843	0.00000000
train	51	partial	0.709329	0.343605	nan	nan	train_dice	0.343605	0.00000010	0.00004635	0.00000000
train	52	partial	0.704081	0.388606	nan	nan	train_dice	0.388606	0.00000010	0.00004426	0.00000000
train	53	partial	0.705394	0.370919	nan	nan	train_dice	0.370919	0.00000010	0.00004216	0.00000000
train	54	partial	0.698159	0.381423	nan	nan	train_dice	0.381423	0.00000010	0.00004004	0.00000000
train	55	partial	0.698142	0.386855	nan	nan	train_dice	0.386855	0.00000010	0.00003792	0.00000000
train	56	partial	0.698595	0.381646	nan	nan	train_dice	0.381646	0.00000010	0.00003578	0.00000000
train	57	partial	0.694352	0.393218	nan	nan	train_dice	0.393218	0.00000010	0.00003362	0.00000000
train	58	partial	0.685314	0.408204	nan	nan	train_dice	0.408204	0.00000010	0.00003145	0.00000000
train	59	partial	0.688217	0.389447	nan	nan	train_dice	0.389447	0.00000010	0.00002927	0.00000000
train	60	partial	0.686548	0.388423	0.746768	0.327397	train_dice	0.388423	0.00000010	0.00002706	0.00000000
train	61	partial	0.684484	0.392807	nan	nan	train_dice	0.392807	0.00000010	0.00002484	0.00000000
train	62	partial	0.681414	0.391985	nan	nan	train_dice	0.391985	0.00000010	0.00002259	0.00000000
train	63	partial	0.674540	0.415617	nan	nan	train_dice	0.415617	0.00000010	0.00002032	0.00000000
train	64	partial	0.670736	0.418371	nan	nan	train_dice	0.418371	0.00000010	0.00001802	0.00000000
train	65	partial	0.667766	0.423120	nan	nan	train_dice	0.423120	0.00000010	0.00001568	0.00000000
train	66	partial	0.664811	0.444317	nan	nan	train_dice	0.444317	0.00000010	0.00001331	0.00000000
train	67	partial	0.665688	0.410994	nan	nan	train_dice	0.410994	0.00000010	0.00001089	0.00000000
train	68	partial	0.669432	0.418540	nan	nan	train_dice	0.418540	0.00000010	0.00000840	0.00000000
train	69	partial	0.659236	0.431668	nan	nan	train_dice	0.431668	0.00000010	0.00000583	0.00000000
train	70	partial	0.664045	0.420888	0.746857	0.398417	train_dice	0.420888	0.00000010	0.00000313	0.00000000
train	71	full	0.663846	0.410505	nan	nan	train_dice	0.410505	0.00000010	0.00000010	0.00000200
train	72	full	0.666627	0.417196	nan	nan	train_dice	0.417196	0.00000010	0.00000010	0.00000400
train	73	full	0.683168	0.408036	nan	nan	train_dice	0.408036	0.00000010	0.00000010	0.00000600
train	74	full	0.678357	0.407106	nan	nan	train_dice	0.407106	0.00000010	0.00000010	0.00000800
train	75	full	0.676209	0.398603	nan	nan	train_dice	0.398603	0.00000010	0.00000010	0.00001000
train	76	full	0.677396	0.420770	nan	nan	train_dice	0.420770	0.00000010	0.00000010	0.00001000
train	77	full	0.670854	0.453729	nan	nan	train_dice	0.453729	0.00000010	0.00000010	0.00000993
train	78	full	0.673560	0.428436	nan	nan	train_dice	0.428436	0.00000010	0.00000010	0.00000986
train	79	full	0.669784	0.434150	nan	nan	train_dice	0.434150	0.00000010	0.00000010	0.00000978
train	80	full	0.660254	0.448041	0.727332	0.399522	train_dice	0.448041	0.00000010	0.00000010	0.00000971
train	81	full	0.654611	0.427760	nan	nan	train_dice	0.427760	0.00000010	0.00000010	0.00000964
train	82	full	0.650221	0.507046	nan	nan	train_dice	0.507046	0.00000010	0.00000010	0.00000957
train	83	full	0.654939	0.471657	nan	nan	train_dice	0.471657	0.00000010	0.00000010	0.00000949
train	84	full	0.648901	0.467183	nan	nan	train_dice	0.467183	0.00000010	0.00000010	0.00000942
train	85	full	0.648271	0.483465	nan	nan	train_dice	0.483465	0.00000010	0.00000010	0.00000935
train	86	full	0.644273	0.473414	nan	nan	train_dice	0.473414	0.00000010	0.00000010	0.00000928
train	87	full	0.645966	0.467060	nan	nan	train_dice	0.467060	0.00000010	0.00000010	0.00000920
train	88	full	0.650417	0.474192	nan	nan	train_dice	0.474192	0.00000010	0.00000010	0.00000913
train	89	full	0.643131	0.490519	nan	nan	train_dice	0.490519	0.00000010	0.00000010	0.00000906
train	90	full	0.639944	0.509322	0.719612	0.416254	train_dice	0.509322	0.00000010	0.00000010	0.00000899
train	91	full	0.637791	0.486834	nan	nan	train_dice	0.486834	0.00000010	0.00000010	0.00000891
train	92	full	0.635075	0.482925	nan	nan	train_dice	0.482925	0.00000010	0.00000010	0.00000884
train	93	full	0.638149	0.494751	nan	nan	train_dice	0.494751	0.00000010	0.00000010	0.00000877
train	94	full	0.629785	0.488808	nan	nan	train_dice	0.488808	0.00000010	0.00000010	0.00000869
train	95	full	0.631575	0.515908	nan	nan	train_dice	0.515908	0.00000010	0.00000010	0.00000862
train	96	full	0.629387	0.533306	nan	nan	train_dice	0.533306	0.00000010	0.00000010	0.00000855
train	97	full	0.628495	0.523025	nan	nan	train_dice	0.523025	0.00000010	0.00000010	0.00000847
train	98	full	0.627989	0.541624	nan	nan	train_dice	0.541624	0.00000010	0.00000010	0.00000840
train	99	full	0.622748	0.499556	nan	nan	train_dice	0.499556	0.00000010	0.00000010	0.00000833
train	100	full	0.627230	0.519697	0.711028	0.460801	train_dice	0.519697	0.00000010	0.00000010	0.00000825
train	101	full	0.620447	0.537663	nan	nan	train_dice	0.537663	0.00000010	0.00000010	0.00000818
train	102	full	0.624431	0.540404	nan	nan	train_dice	0.540404	0.00000010	0.00000010	0.00000811
train	103	full	0.620586	0.528922	nan	nan	train_dice	0.528922	0.00000010	0.00000010	0.00000803
train	104	full	0.618337	0.537773	nan	nan	train_dice	0.537773	0.00000010	0.00000010	0.00000796
train	105	full	0.618626	0.507779	nan	nan	train_dice	0.507779	0.00000010	0.00000010	0.00000789
train	106	full	0.622766	0.531713	nan	nan	train_dice	0.531713	0.00000010	0.00000010	0.00000781
train	107	full	0.620186	0.533691	nan	nan	train_dice	0.533691	0.00000010	0.00000010	0.00000774
train	108	full	0.618323	0.546040	nan	nan	train_dice	0.546040	0.00000010	0.00000010	0.00000766
train	109	full	0.622958	0.554876	nan	nan	train_dice	0.554876	0.00000010	0.00000010	0.00000759
train	110	full	0.614027	0.566041	0.717049	0.515993	train_dice	0.566041	0.00000010	0.00000010	0.00000751
train	111	full	0.613285	0.546768	nan	nan	train_dice	0.546768	0.00000010	0.00000010	0.00000744
train	112	full	0.617586	0.544548	nan	nan	train_dice	0.544548	0.00000010	0.00000010	0.00000737
train	113	full	0.615121	0.526085	nan	nan	train_dice	0.526085	0.00000010	0.00000010	0.00000729
train	114	full	0.613118	0.546979	nan	nan	train_dice	0.546979	0.00000010	0.00000010	0.00000722
train	115	full	0.606347	0.551838	nan	nan	train_dice	0.551838	0.00000010	0.00000010	0.00000714
train	116	full	0.613257	0.564626	nan	nan	train_dice	0.564626	0.00000010	0.00000010	0.00000707
train	117	full	0.609453	0.571077	nan	nan	train_dice	0.571077	0.00000010	0.00000010	0.00000699
train	118	full	0.609852	0.557210	nan	nan	train_dice	0.557210	0.00000010	0.00000010	0.00000692
train	119	full	0.608046	0.547247	nan	nan	train_dice	0.547247	0.00000010	0.00000010	0.00000684
train	120	full	0.604185	0.582513	0.710561	0.477873	train_dice	0.582513	0.00000010	0.00000010	0.00000677
train	121	full	0.610321	0.558329	nan	nan	train_dice	0.558329	0.00000010	0.00000010	0.00000669
train	122	full	0.602610	0.559793	nan	nan	train_dice	0.559793	0.00000010	0.00000010	0.00000662
