Run log for fold 1
Device: cuda
AMP enabled: True
Staged tuning: True
Validation interval epochs: 1
Final validation: False
Best checkpoint metric: val_dice (max)
Output dir: /data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/checkpoints/tbi_multitalentv2/fold_1
Dataset summary: total=552, lesion_positive=322, lesion_empty=230, dmri=229
Train split summary: total=441, lesion_positive=256, lesion_empty=185, dmri=183
Val split summary: total=111, lesion_positive=66, lesion_empty=45, dmri=46
Case sampling: enabled=True, target_positive_fraction=0.65, target_empty_fraction=0.35, positive_weight=nan, empty_weight=1.0, num_samples=441, replacement=True
phase	epoch	stage	train_loss	train_dice	val_loss	val_dice	monitor_metric	monitor_value	lr_head	lr_partial	lr_full
train	1	full	1.810797	0.001757	1.563295	0.004200	val_dice	0.004200	0.00000000	0.00000000	0.00001000
saved	1	full	1.810797	0.001757	1.563295	0.004200
train	2	full	1.393252	0.027954	1.265137	0.237203	val_dice	0.237203	0.00000000	0.00000000	0.00002000
saved	2	full	1.393252	0.027954	1.265137	0.237203
train	3	full	1.181546	0.200366	1.119464	0.411739	val_dice	0.411739	0.00000000	0.00000000	0.00003000
saved	3	full	1.181546	0.200366	1.119464	0.411739
train	4	full	1.080120	0.196811	1.053871	0.262798	val_dice	0.262798	0.00000000	0.00000000	0.00004000
train	5	full	1.024974	0.206968	1.024526	0.284050	val_dice	0.284050	0.00000000	0.00000000	0.00005000
train	6	full	0.989240	0.189829	0.988890	0.158683	val_dice	0.158683	0.00000000	0.00000000	0.00006000
train	7	full	0.980466	0.168449	0.984059	0.151041	val_dice	0.151041	0.00000000	0.00000000	0.00007000
train	8	full	0.943034	0.159872	0.934779	0.228120	val_dice	0.228120	0.00000000	0.00000000	0.00008000
train	9	full	0.897435	0.169107	0.885638	0.181425	val_dice	0.181425	0.00000000	0.00000000	0.00009000
train	10	full	0.831321	0.239523	0.864224	0.151188	val_dice	0.151188	0.00000000	0.00000000	0.00010000
train	11	full	0.786730	0.263185	0.822533	0.212889	val_dice	0.212889	0.00000000	0.00000000	0.00010000
