fold,split,case_id,component_index,component_voxels,center_i,center_j,center_k,centroid_i,centroid_j,centroid_k,max_prob,mean_prob,threshold,min_component_voxels,image_i,image_j,image_k,checkpoints
1,train,0033,1,3,125,140,143,124.33333333333333,140.33333333333334,143.0,0.19933444261550903,0.1860724836587906,0.1,3,259,259,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0033,2,3,129,129,144,128.66666666666666,129.33333333333334,144.0,0.17608609795570374,0.15901987254619598,0.1,3,259,259,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0033,3,4,186,137,127,186.0,137.5,126.0,0.15467317402362823,0.1393006592988968,0.1,3,259,259,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0040,3,34,147,158,183,147.55882352941177,158.11764705882354,182.2058823529412,0.9998968839645386,0.7273132801055908,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0040,2,5,134,163,162,133.6,163.8,162.0,0.8051806688308716,0.4618375897407532,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0040,1,10,129,162,161,128.8,162.3,161.0,0.36745747923851013,0.26683497428894043,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0089,3,6,163,160,137,163.16666666666666,159.66666666666666,137.16666666666666,0.8027709722518921,0.3686407506465912,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0089,5,16,174,176,153,174.0,176.375,152.25,0.38464611768722534,0.2232179194688797,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0089,1,3,132,184,140,132.0,184.0,140.0,0.26504766941070557,0.18284930288791656,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0089,2,9,147,146,131,146.55555555555554,146.22222222222223,130.88888888888889,0.2541615962982178,0.18312090635299683,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
