threshold,min_component_voxels,case_id,dice,precision,recall,gt_voxels,gt_category,pred_voxels,pred_category,tp,fp,fn,missed_positive,empty_false_positive
0.25,0,0020,0.08811748998664887,0.12992125984251968,0.06666666666666667,495,tiny,254,tiny,33,221,462,0,0
0.25,3,0020,0.08811748998664887,0.12992125984251968,0.06666666666666667,495,tiny,254,tiny,33,221,462,0,0
0.25,5,0020,0.08811748998664887,0.12992125984251968,0.06666666666666667,495,tiny,254,tiny,33,221,462,0,0
0.3,0,0020,0.07869742198100407,0.11983471074380166,0.05858585858585859,495,tiny,242,tiny,29,213,466,0,0
0.3,3,0020,0.07869742198100407,0.11983471074380166,0.05858585858585859,495,tiny,242,tiny,29,213,466,0,0
0.3,5,0020,0.07869742198100407,0.11983471074380166,0.05858585858585859,495,tiny,242,tiny,29,213,466,0,0
0.35,0,0020,0.07212205270457697,0.11504424778761062,0.052525252525252523,495,tiny,226,tiny,26,200,469,0,0
0.35,3,0020,0.07212205270457697,0.11504424778761062,0.052525252525252523,495,tiny,226,tiny,26,200,469,0,0
0.35,5,0020,0.07212205270457697,0.11504424778761062,0.052525252525252523,495,tiny,226,tiny,26,200,469,0,0
0.25,0,0021,0.6920980926430518,0.5474137931034483,0.9407407407407408,135,tiny,232,tiny,127,105,8,0,0
0.25,3,0021,0.6920980926430518,0.5474137931034483,0.9407407407407408,135,tiny,232,tiny,127,105,8,0,0
0.25,5,0021,0.6920980926430518,0.5474137931034483,0.9407407407407408,135,tiny,232,tiny,127,105,8,0,0
0.3,0,0021,0.7134831460674157,0.5746606334841629,0.9407407407407408,135,tiny,221,tiny,127,94,8,0,0
0.3,3,0021,0.7134831460674157,0.5746606334841629,0.9407407407407408,135,tiny,221,tiny,127,94,8,0,0
0.3,5,0021,0.7195467422096318,0.5825688073394495,0.9407407407407408,135,tiny,218,tiny,127,91,8,0,0
0.35,0,0021,0.7405247813411079,0.6105769230769231,0.9407407407407408,135,tiny,208,tiny,127,81,8,0,0
0.35,3,0021,0.7405247813411079,0.6105769230769231,0.9407407407407408,135,tiny,208,tiny,127,81,8,0,0
0.35,5,0021,0.7405247813411079,0.6105769230769231,0.9407407407407408,135,tiny,208,tiny,127,81,8,0,0
0.25,0,0029,0.6334227552469622,0.5795552988738089,0.6983298538622129,2898,small,3463,small,2007,1456,867,0,0
0.25,3,0029,0.6334070097884433,0.5797687861271676,0.697981906750174,2898,small,3460,small,2006,1454,868,0,0
0.25,5,0029,0.6334070097884433,0.5797687861271676,0.697981906750174,2898,small,3460,small,2006,1454,868,0,0
0.3,0,0029,0.6370681304488215,0.5942771084337349,0.686499652052888,2898,small,3320,small,1973,1347,901,0,0
0.3,3,0029,0.6372739018087855,0.5946353224834238,0.686499652052888,2898,small,3318,small,1973,1345,901,0,0
0.3,5,0029,0.6372739018087855,0.5946353224834238,0.686499652052888,2898,small,3318,small,1973,1345,901,0,0
0.35,0,0029,0.6435905929115601,0.6140960809102401,0.6760612386917189,2898,small,3164,small,1943,1221,931,0,0
0.35,3,0029,0.6438038436050364,0.6144845034788109,0.6760612386917189,2898,small,3162,small,1943,1219,931,0,0
0.35,5,0029,0.6438038436050364,0.6144845034788109,0.6760612386917189,2898,small,3162,small,1943,1219,931,0,0
0.25,0,0036,0.5652574739892006,0.6373626373626373,0.5078088026502603,4226,small,3367,small,2146,1221,2080,0,0
0.25,3,0036,0.5658536585365853,0.6388806192319143,0.5078088026502603,4226,small,3359,small,2146,1213,2080,0,0
0.25,5,0036,0.5650969529085873,0.6384500745156483,0.5068622811168955,4226,small,3355,small,2142,1213,2084,0,0
0.3,0,0036,0.5591484774993263,0.6492490613266583,0.4910080454330336,4226,small,3196,small,2075,1121,2151,0,0
0.3,3,0036,0.559676331759946,0.6506741925368454,0.4910080454330336,4226,small,3189,small,2075,1114,2151,0,0
0.3,5,0036,0.5590933621154884,0.650345260514752,0.49029815428300993,4226,small,3186,small,2072,1114,2154,0,0
0.35,0,0036,0.5542400881057269,0.662606978275181,0.4763369616658779,4226,small,3038,small,2013,1025,2213,0,0
0.35,3,0036,0.5539181930863517,0.6626029654036244,0.47586370089919544,4226,small,3035,small,2011,1024,2215,0,0
0.35,5,0036,0.5531211244315833,0.6621577037281425,0.47491717936583056,4226,small,3031,small,2007,1024,2219,0,0
0.25,0,0062,0.34332425068119893,0.2204724409448819,0.7753846153846153,325,tiny,1143,small,252,891,73,0,0
0.25,3,0062,0.34332425068119893,0.2204724409448819,0.7753846153846153,325,tiny,1143,small,252,891,73,0,0
0.25,5,0062,0.3440273037542662,0.22105263157894736,0.7753846153846153,325,tiny,1140,small,252,888,73,0,0
0.3,0,0062,0.3578643578643579,0.23374175306314798,0.7630769230769231,325,tiny,1061,small,248,813,77,0,0
0.3,3,0062,0.3583815028901734,0.23418319169027385,0.7630769230769231,325,tiny,1059,small,248,811,77,0,0
0.3,5,0062,0.3583815028901734,0.23418319169027385,0.7630769230769231,325,tiny,1059,small,248,811,77,0,0
0.35,0,0062,0.37329286798179057,0.24773413897280966,0.7569230769230769,325,tiny,993,tiny,246,747,79,0,0
0.35,3,0062,0.3735763097949886,0.24798387096774194,0.7569230769230769,325,tiny,992,tiny,246,746,79,0,0
