threshold,min_component_voxels,case_id,dice,precision,recall,gt_voxels,gt_category,pred_voxels,pred_category,tp,fp,fn,missed_positive,empty_false_positive
0.1,0,0020,0.23925667828106853,0.2814207650273224,0.2080808080808081,495,tiny,366,tiny,103,263,392,0,0
0.1,3,0020,0.23925667828106853,0.2814207650273224,0.2080808080808081,495,tiny,366,tiny,103,263,392,0,0
0.1,5,0020,0.23925667828106853,0.2814207650273224,0.2080808080808081,495,tiny,366,tiny,103,263,392,0,0
0.15,0,0020,0.2214199759326113,0.27380952380952384,0.18585858585858586,495,tiny,336,tiny,92,244,403,0,0
0.15,3,0020,0.2214199759326113,0.27380952380952384,0.18585858585858586,495,tiny,336,tiny,92,244,403,0,0
0.15,5,0020,0.2214199759326113,0.27380952380952384,0.18585858585858586,495,tiny,336,tiny,92,244,403,0,0
0.2,0,0020,0.1875,0.2459016393442623,0.15151515151515152,495,tiny,305,tiny,75,230,420,0,0
0.2,3,0020,0.1875,0.2459016393442623,0.15151515151515152,495,tiny,305,tiny,75,230,420,0,0
0.2,5,0020,0.1875,0.2459016393442623,0.15151515151515152,495,tiny,305,tiny,75,230,420,0,0
0.1,0,0021,0.654911838790932,0.4961832061068702,0.9629629629629629,135,tiny,262,tiny,130,132,5,0,0
0.1,3,0021,0.654911838790932,0.4961832061068702,0.9629629629629629,135,tiny,262,tiny,130,132,5,0,0
0.1,5,0021,0.654911838790932,0.4961832061068702,0.9629629629629629,135,tiny,262,tiny,130,132,5,0,0
0.15,0,0021,0.6789473684210526,0.5265306122448979,0.9555555555555556,135,tiny,245,tiny,129,116,6,0,0
0.15,3,0021,0.6789473684210526,0.5265306122448979,0.9555555555555556,135,tiny,245,tiny,129,116,6,0,0
0.15,5,0021,0.6789473684210526,0.5265306122448979,0.9555555555555556,135,tiny,245,tiny,129,116,6,0,0
0.2,0,0021,0.6991869918699187,0.5512820512820513,0.9555555555555556,135,tiny,234,tiny,129,105,6,0,0
0.2,3,0021,0.6991869918699187,0.5512820512820513,0.9555555555555556,135,tiny,234,tiny,129,105,6,0,0
0.2,5,0021,0.6991869918699187,0.5512820512820513,0.9555555555555556,135,tiny,234,tiny,129,105,6,0,0
0.1,0,0029,0.6193791702930084,0.5310945273631841,0.7428670842032011,2898,small,4020,small,2135,1885,739,0,0
0.1,3,0029,0.6195589088798608,0.5313588850174216,0.7428670842032011,2898,small,4018,small,2135,1883,739,0,0
0.1,5,0029,0.6196773724749309,0.5320688794609434,0.7418232428670842,2898,small,4007,small,2132,1875,742,0,0
0.15,0,0029,0.6275748007818374,0.5525549377813079,0.7261656228253306,2898,small,3777,small,2087,1690,787,0,0
0.15,3,0029,0.6275395033860045,0.552903739061257,0.7254697286012526,2898,small,3771,small,2085,1686,789,0,0
0.15,5,0029,0.6275395033860045,0.552903739061257,0.7254697286012526,2898,small,3771,small,2085,1686,789,0,0
0.2,0,0029,0.6328173374613003,0.569994422755159,0.7112038970076549,2898,small,3586,small,2044,1542,830,0,0
0.2,3,0029,0.632801610655103,0.5701925760535864,0.7108559498956158,2898,small,3583,small,2043,1540,831,0,0
0.2,5,0029,0.632801610655103,0.5701925760535864,0.7108559498956158,2898,small,3583,small,2043,1540,831,0,0
0.1,0,0036,0.5649097120546608,0.5831234256926953,0.5477993374349266,4226,small,3970,small,2315,1655,1911,0,0
0.1,3,0036,0.5645909645909646,0.5832492431886983,0.547089446284903,4226,small,3964,small,2312,1652,1914,0,0
0.1,5,0036,0.5648668458343513,0.5838383838383838,0.547089446284903,4226,small,3960,small,2312,1648,1914,0,0
0.15,0,0036,0.5656079969631785,0.6078324721240141,0.528868906767629,4226,small,3677,small,2235,1442,1991,0,0
0.15,3,0036,0.565784475117133,0.608553527649142,0.5286322763842878,4226,small,3671,small,2234,1437,1992,0,0
0.15,5,0036,0.56599949328604,0.6090512540894221,0.5286322763842878,4226,small,3668,small,2234,1434,1992,0,0
0.2,0,0036,0.5608644707720349,0.6234442836468885,0.5097018457169901,4226,small,3455,small,2154,1301,2072,0,0
0.2,3,0036,0.5612298071912455,0.6243478260869565,0.5097018457169901,4226,small,3450,small,2154,1296,2072,0,0
0.2,5,0036,0.5606989177206937,0.6244554167876851,0.5087553241836251,4226,small,3443,small,2150,1293,2076,0,0
0.1,0,0062,0.2986789201608271,0.18361581920903955,0.8,325,tiny,1416,small,260,1156,65,0,0
0.1,3,0062,0.2988505747126437,0.18374558303886926,0.8,325,tiny,1415,small,260,1155,65,0,0
0.1,5,0062,0.2988505747126437,0.18374558303886926,0.8,325,tiny,1415,small,260,1155,65,0,0
0.15,0,0062,0.3231552162849873,0.2036888532477947,0.7815384615384615,325,tiny,1247,small,254,993,71,0,0
0.15,3,0062,0.3231552162849873,0.2036888532477947,0.7815384615384615,325,tiny,1247,small,254,993,71,0,0
0.15,5,0062,0.3239795918367347,0.20434432823813356,0.7815384615384615,325,tiny,1243,small,254,989,71,0,0
0.2,0,0062,0.3403389830508475,0.2182608695652174,0.7723076923076924,325,tiny,1150,small,251,899,74,0,0
0.2,3,0062,0.3403389830508475,0.2182608695652174,0.7723076923076924,325,tiny,1150,small,251,899,74,0,0
0.2,5,0062,0.34103260869565216,0.21883173496076722,0.7723076923076924,325,tiny,1147,small,251,896,74,0,0
0.1,0,0073,0.3363914373088685,0.3548387096774194,0.31976744186046513,176,tiny,155,tiny,55,100,117,0,0
0.1,3,0073,0.3363914373088685,0.3548387096774194,0.31976744186046513,176,tiny,155,tiny,55,100,117,0,0
0.1,5,0073,0.2946708463949843,0.3197278911564626,0.27325581395348836,176,tiny,147,tiny,47,100,125,0,0
0.15,0,0073,0.28938906752411575,0.3237410071942446,0.2616279069767442,176,tiny,139,tiny,45,94,127,0,0
0.15,3,0073,0.2727272727272727,0.3088235294117647,0.2441860465116279,176,tiny,136,tiny,42,94,130,0,0
0.15,5,0073,0.25165562913907286,0.2923076923076923,0.22093023255813954,176,tiny,130,tiny,38,92,134,0,0
0.2,0,0073,0.2751677852348993,0.3253968253968254,0.23837209302325582,176,tiny,126,tiny,41,85,131,0,0
0.2,3,0073,0.26440677966101694,0.3170731707317073,0.22674418604651161,176,tiny,123,tiny,39,84,133,0,0
0.2,5,0073,0.24475524475524477,0.30701754385964913,0.20348837209302326,176,tiny,114,tiny,35,79,137,0,0
0.1,0,0097,0.01932367149758454,0.0625,0.011428571428571429,173,tiny,32,very_tiny,2,30,173,0,0
0.1,3,0097,0.01932367149758454,0.0625,0.011428571428571429,173,tiny,32,very_tiny,2,30,173,0,0
0.1,5,0097,0.01932367149758454,0.0625,0.011428571428571429,173,tiny,32,very_tiny,2,30,173,0,0
0.15,0,0097,0.010050251256281407,0.041666666666666664,0.005714285714285714,173,tiny,24,very_tiny,1,23,174,0,0
0.15,3,0097,0.010050251256281407,0.041666666666666664,0.005714285714285714,173,tiny,24,very_tiny,1,23,174,0,0
