threshold,min_component_voxels,case_id,dice,precision,recall,gt_voxels,gt_category,pred_voxels,pred_category,tp,fp,fn,missed_positive,empty_false_positive
0.35,0,0020,0.24556962025316456,0.3288135593220339,0.19595959595959597,495,tiny,295,tiny,97,198,398,0,0
0.35,3,0020,0.24556962025316456,0.3288135593220339,0.19595959595959597,495,tiny,295,tiny,97,198,398,0,0
0.35,5,0020,0.24556962025316456,0.3288135593220339,0.19595959595959597,495,tiny,295,tiny,97,198,398,0,0
0.35,10,0020,0.24556962025316456,0.3288135593220339,0.19595959595959597,495,tiny,295,tiny,97,198,398,0,0
0.35,20,0020,0.24556962025316456,0.3288135593220339,0.19595959595959597,495,tiny,295,tiny,97,198,398,0,0
0.4,0,0020,0.2336328626444159,0.3204225352112676,0.18383838383838383,495,tiny,284,tiny,91,193,404,0,0
0.4,3,0020,0.2336328626444159,0.3204225352112676,0.18383838383838383,495,tiny,284,tiny,91,193,404,0,0
0.4,5,0020,0.2336328626444159,0.3204225352112676,0.18383838383838383,495,tiny,284,tiny,91,193,404,0,0
0.4,10,0020,0.2336328626444159,0.3204225352112676,0.18383838383838383,495,tiny,284,tiny,91,193,404,0,0
0.4,20,0020,0.2336328626444159,0.3204225352112676,0.18383838383838383,495,tiny,284,tiny,91,193,404,0,0
0.45,0,0020,0.22077922077922077,0.3090909090909091,0.1717171717171717,495,tiny,275,tiny,85,190,410,0,0
0.45,3,0020,0.22077922077922077,0.3090909090909091,0.1717171717171717,495,tiny,275,tiny,85,190,410,0,0
0.45,5,0020,0.22077922077922077,0.3090909090909091,0.1717171717171717,495,tiny,275,tiny,85,190,410,0,0
0.45,10,0020,0.22077922077922077,0.3090909090909091,0.1717171717171717,495,tiny,275,tiny,85,190,410,0,0
0.45,20,0020,0.22077922077922077,0.3090909090909091,0.1717171717171717,495,tiny,275,tiny,85,190,410,0,0
0.5,0,0020,0.2073490813648294,0.2958801498127341,0.1595959595959596,495,tiny,267,tiny,79,188,416,0,0
0.5,3,0020,0.2073490813648294,0.2958801498127341,0.1595959595959596,495,tiny,267,tiny,79,188,416,0,0
0.5,5,0020,0.2073490813648294,0.2958801498127341,0.1595959595959596,495,tiny,267,tiny,79,188,416,0,0
0.5,10,0020,0.2073490813648294,0.2958801498127341,0.1595959595959596,495,tiny,267,tiny,79,188,416,0,0
0.5,20,0020,0.16890080428954424,0.250996015936255,0.12727272727272726,495,tiny,251,tiny,63,188,432,0,0
0.55,0,0020,0.19337748344370861,0.28076923076923077,0.14747474747474748,495,tiny,260,tiny,73,187,422,0,0
0.55,3,0020,0.19337748344370861,0.28076923076923077,0.14747474747474748,495,tiny,260,tiny,73,187,422,0,0
0.55,5,0020,0.19337748344370861,0.28076923076923077,0.14747474747474748,495,tiny,260,tiny,73,187,422,0,0
0.55,10,0020,0.19337748344370861,0.28076923076923077,0.14747474747474748,495,tiny,260,tiny,73,187,422,0,0
0.55,20,0020,0.16172506738544473,0.242914979757085,0.12121212121212122,495,tiny,247,tiny,60,187,435,0,0
0.35,0,0021,0.8287671232876712,0.7707006369426752,0.8962962962962963,135,tiny,157,tiny,121,36,14,0,0
0.35,3,0021,0.8316151202749141,0.7756410256410257,0.8962962962962963,135,tiny,156,tiny,121,35,14,0,0
0.35,5,0021,0.8316151202749141,0.7756410256410257,0.8962962962962963,135,tiny,156,tiny,121,35,14,0,0
0.35,10,0021,0.8316151202749141,0.7756410256410257,0.8962962962962963,135,tiny,156,tiny,121,35,14,0,0
0.35,20,0021,0.8673835125448028,0.8402777777777778,0.8962962962962963,135,tiny,144,tiny,121,23,14,0,0
0.4,0,0021,0.8344827586206897,0.7806451612903226,0.8962962962962963,135,tiny,155,tiny,121,34,14,0,0
0.4,3,0021,0.8373702422145328,0.7857142857142857,0.8962962962962963,135,tiny,154,tiny,121,33,14,0,0
0.4,5,0021,0.8373702422145328,0.7857142857142857,0.8962962962962963,135,tiny,154,tiny,121,33,14,0,0
0.4,10,0021,0.8373702422145328,0.7857142857142857,0.8962962962962963,135,tiny,154,tiny,121,33,14,0,0
0.4,20,0021,0.8673835125448028,0.8402777777777778,0.8962962962962963,135,tiny,144,tiny,121,23,14,0,0
0.45,0,0021,0.8432055749128919,0.7960526315789473,0.8962962962962963,135,tiny,152,tiny,121,31,14,0,0
0.45,3,0021,0.8461538461538461,0.8013245033112583,0.8962962962962963,135,tiny,151,tiny,121,30,14,0,0
0.45,5,0021,0.8461538461538461,0.8013245033112583,0.8962962962962963,135,tiny,151,tiny,121,30,14,0,0
0.45,10,0021,0.8736462093862816,0.852112676056338,0.8962962962962963,135,tiny,142,tiny,121,21,14,0,0
0.45,20,0021,0.8736462093862816,0.852112676056338,0.8962962962962963,135,tiny,142,tiny,121,21,14,0,0
0.5,0,0021,0.8491228070175438,0.8066666666666666,0.8962962962962963,135,tiny,150,tiny,121,29,14,0,0
0.5,3,0021,0.852112676056338,0.8120805369127517,0.8962962962962963,135,tiny,149,tiny,121,28,14,0,0
0.5,5,0021,0.852112676056338,0.8120805369127517,0.8962962962962963,135,tiny,149,tiny,121,28,14,0,0
0.5,10,0021,0.8768115942028986,0.8581560283687943,0.8962962962962963,135,tiny,141,tiny,121,20,14,0,0
0.5,20,0021,0.8768115942028986,0.8581560283687943,0.8962962962962963,135,tiny,141,tiny,121,20,14,0,0
0.55,0,0021,0.8540925266903915,0.821917808219178,0.8888888888888888,135,tiny,146,tiny,120,26,15,0,0
0.55,3,0021,0.8571428571428571,0.8275862068965517,0.8888888888888888,135,tiny,145,tiny,120,25,15,0,0
0.55,5,0021,0.8571428571428571,0.8275862068965517,0.8888888888888888,135,tiny,145,tiny,120,25,15,0,0
