threshold,min_component_voxels,n_cases,mean_dice_all,mean_dice_positive,mean_dice_gt50,n_positive,n_gt50,n_missed_positive,n_empty_false_positive,mean_dice_empty,n_empty,mean_dice_very_tiny,n_very_tiny,mean_dice_tiny,n_tiny,mean_dice_small,n_small,mean_dice_large,n_large
0.35,0,66,0.5421012982822044,0.5421012982822044,0.5397787102152696,66,64,2,0,nan,0,0.6164241164241164,2,0.36253405276193273,24,0.5414102295399394,18,0.7318016388987256,22
0.35,3,66,0.5422035693279452,0.5422035693279452,0.5396495676215802,66,64,4,0,nan,0,0.6239316239316239,2,0.3620914147699126,24,0.5415304470603349,18,0.7318104693735095,22
0.35,5,66,0.5414361087803843,0.5414361087803843,0.5388581239319079,66,64,6,0,nan,0,0.6239316239316239,2,0.3599265726744421,24,0.541639510330415,18,0.7317805000685468,22
0.35,10,66,0.5409533413788251,0.5409533413788251,0.5383602700490501,66,64,7,0,nan,0,0.6239316239316239,2,0.35833565641697107,24,0.5419643060116036,18,0.731802000951047,22
0.35,20,66,0.5419320728271807,0.5419320728271807,0.5393695868551668,66,64,7,0,nan,0,0.6239316239316239,2,0.36113379716954275,24,0.5417454299320105,18,0.7318647585402484,22
0.4,0,66,0.5402448625751751,0.5402448625751751,0.5383481718076445,66,64,4,0,nan,0,0.6009389671361502,2,0.36106734500058585,24,0.539554474501724,18,0.7307584624838254,22
0.4,3,66,0.5402857286725097,0.5402857286725097,0.5383903149705208,66,64,6,0,nan,0,0.6009389671361502,2,0.36104789061515724,24,0.5397027305423844,18,0.7307809833448474,22
0.4,5,66,0.5403778678335063,0.5403778678335063,0.5384853334802986,66,64,7,0,nan,0,0.6009389671361502,2,0.36133484200377036,24,0.5397134447369427,18,0.730735596790166,22
0.4,10,66,0.5400255672378173,0.5400255672378173,0.5381220234909941,66,64,7,0,nan,0,0.6009389671361502,2,0.36030337476442886,24,0.5397957265803958,18,0.7307366104831915,22
0.4,20,66,0.5406523603194155,0.5406523603194155,0.5387684038563927,66,64,7,0,nan,0,0.6009389671361502,2,0.36201520911905866,24,0.5396721924238236,18,0.7308506074692226,22
0.45,0,66,0.5393497575693688,0.5393497575693688,0.5376355969137012,66,64,5,0,nan,0,0.5942028985507246,2,0.36118721821832894,24,0.5381789396162434,18,0.729680184188391,22
0.45,3,66,0.5393509442188003,0.5393509442188003,0.5376368206459275,66,64,7,0,nan,0,0.5942028985507246,2,0.3611754596283432,24,0.5382137515324731,18,0.7296680892124825,22
0.45,5,66,0.5393404246855326,0.5393404246855326,0.5376259723772452,66,64,7,0,nan,0,0.5942028985507246,2,0.361265049672214,24,0.5381909339246229,18,0.7295574649712431,22
0.45,10,66,0.5393522518714818,0.5393522518714818,0.5376381691627554,66,64,7,0,nan,0,0.5942028985507246,2,0.3610026875148207,24,0.5384644940789945,18,0.7296553378472158,22
0.45,20,66,0.5391173852119843,0.5391173852119843,0.5373959629201486,66,64,7,0,nan,0,0.5942028985507246,2,0.3602498319385014,24,0.5384521555361954,18,0.7297821300324525,22
0.5,0,66,0.5379633938636394,0.5379633938636394,0.5360860244316821,66,64,6,0,nan,0,0.5980392156862745,2,0.3598663741111711,24,0.5358866196784765,18,0.7284887923066805,22
0.5,3,66,0.5379106570564612,0.5379106570564612,0.5360316395992795,66,64,7,0,nan,0,0.5980392156862745,2,0.3597871650065822,24,0.5358022231047614,18,0.7284860435595552,22
0.5,5,66,0.5380370864767585,0.5380370864767585,0.5361620199389611,66,64,7,0,nan,0,0.5980392156862745,2,0.360063444563266,24,0.5358745725276388,18,0.7285047409580742,22
0.5,10,66,0.5379766708479411,0.5379766708479411,0.5360997163217431,66,64,7,0,nan,0,0.5980392156862745,2,0.35990480497572586,24,0.5358075336561124,18,0.7285514054256418,22
0.5,20,66,0.5368959839723997,0.5368959839723997,0.5349852579813412,66,64,7,0,nan,0,0.5980392156862745,2,0.3566164297920628,24,0.5361179896961722,18,0.7286426536938742,22
0.55,0,66,0.5360368551885718,0.5360368551885718,0.5344422357689361,66,64,7,0,nan,0,0.5870646766169154,2,0.35837271358198547,24,0.5337728802831534,18,0.7270657326430677,22
0.55,3,66,0.5361763951685712,0.5361763951685712,0.5345861363733104,66,64,7,0,nan,0,0.5870646766169154,2,0.35876625980166477,24,0.5337959740854916,18,0.727036134505139,22
0.55,5,66,0.536266628448174,0.536266628448174,0.5346791894429008,66,64,7,0,nan,0,0.5870646766169154,2,0.35892823896560283,24,0.5338497309200779,18,0.7270861469368082,22
0.55,10,66,0.5361268755473975,0.5361268755473975,0.5345350692639751,66,64,7,0,nan,0,0.5870646766169154,2,0.3587658735601174,24,0.5335137138419311,18,0.7271189371953102,22
0.55,20,66,0.535405120055684,0.535405120055684,0.5337907589131455,66,64,7,0,nan,0,0.5870646766169154,2,0.35568663581224397,24,0.5348543205180799,18,0.7272159791646375,22
