threshold,min_component_voxels,case_id,dice,precision,recall,gt_voxels,gt_category,pred_voxels,pred_category,tp,fp,fn,missed_positive,empty_false_positive
0.3,0,0020,0.27935723114956734,0.35987261146496813,0.22828282828282828,495,tiny,314,tiny,113,201,382,0,0
0.3,3,0020,0.27935723114956734,0.35987261146496813,0.22828282828282828,495,tiny,314,tiny,113,201,382,0,0
0.3,5,0020,0.27935723114956734,0.35987261146496813,0.22828282828282828,495,tiny,314,tiny,113,201,382,0,0
0.3,20,0020,0.27935723114956734,0.35987261146496813,0.22828282828282828,495,tiny,314,tiny,113,201,382,0,0
0.35,0,0020,0.24556962025316456,0.3288135593220339,0.19595959595959597,495,tiny,295,tiny,97,198,398,0,0
0.35,3,0020,0.24556962025316456,0.3288135593220339,0.19595959595959597,495,tiny,295,tiny,97,198,398,0,0
0.35,5,0020,0.24556962025316456,0.3288135593220339,0.19595959595959597,495,tiny,295,tiny,97,198,398,0,0
0.35,20,0020,0.24556962025316456,0.3288135593220339,0.19595959595959597,495,tiny,295,tiny,97,198,398,0,0
0.3,0,0021,0.8203389830508474,0.75625,0.8962962962962963,135,tiny,160,tiny,121,39,14,0,0
0.3,3,0021,0.8203389830508474,0.75625,0.8962962962962963,135,tiny,160,tiny,121,39,14,0,0
0.3,5,0021,0.8287671232876712,0.7707006369426752,0.8962962962962963,135,tiny,157,tiny,121,36,14,0,0
0.3,20,0021,0.8642857142857143,0.8344827586206897,0.8962962962962963,135,tiny,145,tiny,121,24,14,0,0
0.35,0,0021,0.8287671232876712,0.7707006369426752,0.8962962962962963,135,tiny,157,tiny,121,36,14,0,0
0.35,3,0021,0.8316151202749141,0.7756410256410257,0.8962962962962963,135,tiny,156,tiny,121,35,14,0,0
0.35,5,0021,0.8316151202749141,0.7756410256410257,0.8962962962962963,135,tiny,156,tiny,121,35,14,0,0
0.35,20,0021,0.8673835125448028,0.8402777777777778,0.8962962962962963,135,tiny,144,tiny,121,23,14,0,0
0.3,0,0029,0.613463098134631,0.574597386812519,0.6579679888656924,2898,small,3291,small,1891,1400,983,0,0
0.3,3,0029,0.6140607241435297,0.5756468797564688,0.6579679888656924,2898,small,3285,small,1891,1394,983,0,0
0.3,5,0029,0.6140607241435297,0.5756468797564688,0.6579679888656924,2898,small,3285,small,1891,1394,983,0,0
0.3,20,0029,0.6140607241435297,0.5756468797564688,0.6579679888656924,2898,small,3285,small,1891,1394,983,0,0
0.35,0,0029,0.6160934671713016,0.5844520761785825,0.651356993736952,2898,small,3203,small,1872,1331,1002,0,0
0.35,3,0029,0.6162962962962963,0.584817244611059,0.651356993736952,2898,small,3201,small,1872,1329,1002,0,0
0.35,5,0029,0.6162962962962963,0.584817244611059,0.651356993736952,2898,small,3201,small,1872,1329,1002,0,0
0.35,20,0029,0.6162962962962963,0.584817244611059,0.651356993736952,2898,small,3201,small,1872,1329,1002,0,0
0.3,0,0036,0.5159804983748646,0.6032298923369221,0.45078088026502605,4226,small,3158,small,1905,1253,2321,0,0
0.3,3,0036,0.5159891598915989,0.6036778693722258,0.4505442498816848,4226,small,3154,small,1904,1250,2322,0,0
0.3,5,0036,0.5159891598915989,0.6036778693722258,0.4505442498816848,4226,small,3154,small,1904,1250,2322,0,0
0.3,20,0036,0.5138850701127303,0.6131889763779528,0.4422621864647421,4226,small,3048,small,1869,1179,2357,0,0
0.35,0,0036,0.5164410058027079,0.6205179282868526,0.4422621864647421,4226,small,3012,small,1869,1143,2357,0,0
0.35,3,0036,0.5165837479270315,0.6209302325581395,0.4422621864647421,4226,small,3010,small,1869,1141,2357,0,0
0.35,5,0036,0.5168694690265486,0.6217564870259481,0.4422621864647421,4226,small,3006,small,1869,1137,2357,0,0
0.35,20,0036,0.5134604598990465,0.6300757054370268,0.4332702318977757,4226,small,2906,small,1831,1075,2395,0,0
0.3,0,0062,0.27753023551877787,0.17495987158908508,0.6707692307692308,325,tiny,1246,small,218,1028,107,0,0
0.3,3,0062,0.27770700636942675,0.1751004016064257,0.6707692307692308,325,tiny,1245,small,218,1027,107,0,0
0.3,5,0062,0.2784163473818646,0.17566478646253023,0.6707692307692308,325,tiny,1241,small,218,1023,107,0,0
0.3,20,0062,0.2784163473818646,0.17566478646253023,0.6707692307692308,325,tiny,1241,small,218,1023,107,0,0
0.35,0,0062,0.29532967032967034,0.1900972590627763,0.6615384615384615,325,tiny,1131,small,215,916,110,0,0
0.35,3,0062,0.29532967032967034,0.1900972590627763,0.6615384615384615,325,tiny,1131,small,215,916,110,0,0
0.35,5,0062,0.2959394356503785,0.19060283687943264,0.6615384615384615,325,tiny,1128,small,215,913,110,0,0
0.35,20,0062,0.2959394356503785,0.19060283687943264,0.6615384615384615,325,tiny,1128,small,215,913,110,0,0
0.3,0,0073,0.29365079365079366,0.4625,0.21511627906976744,176,tiny,80,tiny,37,43,135,0,0
0.3,3,0073,0.26720647773279355,0.44,0.19186046511627908,176,tiny,75,tiny,33,42,139,0,0
0.3,5,0073,0.27049180327868855,0.4583333333333333,0.19186046511627908,176,tiny,72,tiny,33,39,139,0,0
0.3,20,0073,0.23728813559322035,0.4375,0.16279069767441862,176,tiny,64,tiny,28,36,144,0,0
0.35,0,0073,0.28225806451612906,0.4605263157894737,0.20348837209302326,176,tiny,76,tiny,35,41,137,0,0
0.35,3,0073,0.2716049382716049,0.4647887323943662,0.19186046511627908,176,tiny,71,tiny,33,38,139,0,0
0.35,5,0073,0.2716049382716049,0.4647887323943662,0.19186046511627908,176,tiny,71,tiny,33,38,139,0,0
0.35,20,0073,0.23728813559322035,0.4375,0.16279069767441862,176,tiny,64,tiny,28,36,144,0,0
0.3,0,0097,0.0,0.0,0.0,173,tiny,17,very_tiny,0,17,175,0,0
0.3,3,0097,0.0,0.0,0.0,173,tiny,17,very_tiny,0,17,175,0,0
0.3,5,0097,0.0,0.0,0.0,173,tiny,17,very_tiny,0,17,175,0,0
0.3,20,0097,0.0,0.0,0.0,173,tiny,0,empty,0,0,175,1,0
0.35,0,0097,0.0,0.0,0.0,173,tiny,9,very_tiny,0,9,175,0,0
0.35,3,0097,0.0,0.0,0.0,173,tiny,9,very_tiny,0,9,175,0,0
0.35,5,0097,0.0,0.0,0.0,173,tiny,6,very_tiny,0,6,175,0,0
0.35,20,0097,0.0,0.0,0.0,173,tiny,0,empty,0,0,175,1,0
0.3,0,0108,0.6140534871525957,0.7559715945771466,0.5169977924944812,4530,small,3098,small,2342,756,2188,0,0
0.3,3,0108,0.6141339976399632,0.7562156926057475,0.5169977924944812,4530,small,3097,small,2342,755,2188,0,0
0.3,5,0108,0.6143756558237146,0.7569489334195216,0.5169977924944812,4530,small,3094,small,2342,752,2188,0,0
0.3,20,0108,0.6143756558237146,0.7569489334195216,0.5169977924944812,4530,small,3094,small,2342,752,2188,0,0
0.35,0,0108,0.6104396334174526,0.7662554184728243,0.5072847682119205,4530,small,2999,small,2298,701,2232,0,0
0.35,3,0108,0.6106829657188414,0.767022696929239,0.5072847682119205,4530,small,2996,small,2298,698,2232,0,0
0.35,5,0108,0.6109264920909212,0.7677915135315737,0.5072847682119205,4530,small,2993,small,2298,695,2232,0,0
0.35,20,0108,0.6113036523593708,0.7715343203230148,0.5061810154525387,4530,small,2972,small,2293,679,2237,0,0
0.3,0,0130,0.6226851851851852,0.5964523281596452,0.6513317191283293,826,tiny,902,tiny,538,364,288,0,0
0.3,3,0130,0.6214492753623189,0.5962180200222469,0.648910411622276,826,tiny,899,tiny,536,363,290,0,0
0.3,5,0130,0.6228936664729808,0.5988826815642458,0.648910411622276,826,tiny,895,tiny,536,359,290,0,0
0.3,20,0130,0.5953654188948306,0.5845974329054843,0.6065375302663438,826,tiny,857,tiny,501,356,325,0,0
0.35,0,0130,0.6218289085545723,0.6064441887226697,0.6380145278450363,826,tiny,869,tiny,527,342,299,0,0
0.35,3,0130,0.6213821618428824,0.6066897347174164,0.6368038740920097,826,tiny,867,tiny,526,341,300,0,0
0.35,5,0130,0.6228537596210776,0.6095017381228274,0.6368038740920097,826,tiny,863,tiny,526,337,300,0,0
0.35,20,0130,0.6007237635705669,0.5985576923076923,0.6029055690072639,826,tiny,832,tiny,498,334,328,0,0
0.3,0,0145,0.7364485981308411,0.8084052639026461,0.6762547348484849,8447,large,7067,large,5713,1354,2735,0,0
0.3,3,0145,0.7364960680675519,0.8085196716671385,0.6762547348484849,8447,large,7066,large,5713,1353,2735,0,0
0.3,5,0145,0.7364960680675519,0.8085196716671385,0.6762547348484849,8447,large,7066,large,5713,1353,2735,0,0
0.3,20,0145,0.737474173553719,0.811221590909091,0.6760179924242424,8447,large,7040,large,5711,1329,2737,0,0
0.35,0,0145,0.7355650707149345,0.8138099339649727,0.6710464015151515,8447,large,6966,large,5669,1297,2779,0,0
0.35,3,0145,0.7356127943943425,0.8139267767408471,0.6710464015151515,8447,large,6965,large,5669,1296,2779,0,0
0.35,5,0145,0.7356127943943425,0.8139267767408471,0.6710464015151515,8447,large,6965,large,5669,1296,2779,0,0
0.35,20,0145,0.7365000974722204,0.8164529606684916,0.6708096590909091,8447,large,6941,large,5667,1274,2781,0,0
0.3,0,0157,0.699796126401631,0.6783596837944664,0.7226315789473684,1906,small,2024,small,1373,651,527,0,0
0.3,3,0157,0.7001529831718512,0.679030662710188,0.7226315789473684,1906,small,2022,small,1373,649,527,0,0
0.3,5,0157,0.7001529831718512,0.679030662710188,0.7226315789473684,1906,small,2022,small,1373,649,527,0,0
