threshold,min_component_voxels,case_id,dice,precision,recall,gt_voxels,gt_category,pred_voxels,pred_category,tp,fp,fn,missed_positive,empty_false_positive
0.3,10,0020,0.07901907356948229,0.12133891213389121,0.05858585858585859,495,tiny,239,tiny,29,210,466,0,0
0.3,20,0020,0.07901907356948229,0.12133891213389121,0.05858585858585859,495,tiny,239,tiny,29,210,466,0,0
0.35,10,0020,0.07162534435261708,0.11255411255411256,0.052525252525252523,495,tiny,231,tiny,26,205,469,0,0
0.35,20,0020,0.07162534435261708,0.11255411255411256,0.052525252525252523,495,tiny,231,tiny,26,205,469,0,0
0.3,10,0021,0.7448680351906158,0.616504854368932,0.9407407407407408,135,tiny,206,tiny,127,79,8,0,0
0.3,20,0021,0.7448680351906158,0.616504854368932,0.9407407407407408,135,tiny,206,tiny,127,79,8,0,0
0.35,10,0021,0.7696969696969697,0.6512820512820513,0.9407407407407408,135,tiny,195,tiny,127,68,8,0,0
0.35,20,0021,0.7696969696969697,0.6512820512820513,0.9407407407407408,135,tiny,195,tiny,127,68,8,0,0
0.3,10,0029,0.6384354291255859,0.5961364322366435,0.6871955462769659,2898,small,3313,small,1975,1338,899,0,0
0.3,20,0029,0.6411592315206773,0.6025091799265606,0.6851078636047321,2898,small,3268,small,1969,1299,905,0,0
0.35,10,0029,0.6425861784595085,0.6108497961743493,0.6778009742519137,2898,small,3189,small,1948,1241,926,0,0
0.35,20,0029,0.6438992042440318,0.6149461684610513,0.6757132915796799,2898,small,3158,small,1942,1216,932,0,0
0.3,10,0036,0.5547823714012826,0.6551724137931034,0.48106956933270234,4226,small,3103,small,2033,1070,2193,0,0
0.3,20,0036,0.5558299039780521,0.6612271540469974,0.4794131566493138,4226,small,3064,small,2026,1038,2200,0,0
0.35,10,0036,0.5498607242339832,0.6682464454976303,0.46710837671557026,4226,small,2954,small,1974,980,2252,0,0
0.35,20,0036,0.5512892376681614,0.6759450171821306,0.46545196403218175,4226,small,2910,small,1967,943,2259,0,0
0.3,10,0062,0.36786786786786785,0.24329692154915591,0.7538461538461538,325,tiny,1007,small,245,762,80,0,0
0.3,20,0062,0.36786786786786785,0.24329692154915591,0.7538461538461538,325,tiny,1007,small,245,762,80,0,0
0.35,10,0062,0.3890234059725585,0.2636761487964989,0.7415384615384616,325,tiny,914,tiny,241,673,84,0,0
0.35,20,0062,0.3890234059725585,0.2636761487964989,0.7415384615384616,325,tiny,914,tiny,241,673,84,0,0
0.3,10,0073,0.2222222222222222,0.35,0.16279069767441862,176,tiny,80,tiny,28,52,144,0,0
0.3,20,0073,0.2222222222222222,0.35,0.16279069767441862,176,tiny,80,tiny,28,52,144,0,0
0.35,10,0073,0.20967741935483872,0.34210526315789475,0.1511627906976744,176,tiny,76,tiny,26,50,146,0,0
0.35,20,0073,0.20967741935483872,0.34210526315789475,0.1511627906976744,176,tiny,76,tiny,26,50,146,0,0
0.3,10,0097,0.0,0.0,0.0,173,tiny,11,very_tiny,0,11,175,0,0
0.3,20,0097,0.0,0.0,0.0,173,tiny,0,empty,0,0,175,1,0
0.35,10,0097,0.0,0.0,0.0,173,tiny,10,very_tiny,0,10,175,0,0
0.35,20,0097,0.0,0.0,0.0,173,tiny,0,empty,0,0,175,1,0
0.3,10,0108,0.6158666499561348,0.7123804001159757,0.5423841059602649,4530,small,3449,small,2457,992,2073,0,0
0.3,20,0108,0.6167942763901092,0.714867617107943,0.5423841059602649,4530,small,3437,small,2457,980,2073,0,0
0.35,10,0108,0.6115364982133742,0.7247428917120388,0.5289183222958057,4530,small,3306,small,2396,910,2134,0,0
0.35,20,0108,0.612317914643496,0.7269417475728155,0.5289183222958057,4530,small,3296,small,2396,900,2134,0,0
0.3,10,0130,0.6244725738396625,0.6218487394957983,0.6271186440677966,826,tiny,833,tiny,518,315,308,0,0
0.3,20,0130,0.6152912621359223,0.6167883211678832,0.6138014527845036,826,tiny,822,tiny,507,315,319,0,0
0.35,10,0130,0.6244622003687769,0.634207240948814,0.6150121065375302,826,tiny,801,tiny,508,293,318,0,0
0.35,20,0130,0.6159554730983302,0.629582806573957,0.6029055690072639,826,tiny,791,tiny,498,293,328,0,0
0.3,10,0145,0.7379548949256791,0.8043296089385474,0.6816998106060606,8447,large,7160,large,5759,1401,2689,0,0
0.3,20,0145,0.7379548949256791,0.8043296089385474,0.6816998106060606,8447,large,7160,large,5759,1401,2689,0,0
0.35,10,0145,0.7349428868120457,0.8135057471264368,0.670217803030303,8447,large,6960,large,5662,1298,2786,0,0
0.35,20,0145,0.7349428868120457,0.8135057471264368,0.670217803030303,8447,large,6960,large,5662,1298,2786,0,0
0.3,10,0157,0.7002583979328165,0.6878172588832487,0.7131578947368421,1906,small,1970,small,1355,615,545,0,0
0.3,20,0157,0.7022544700699663,0.6916794282797346,0.7131578947368421,1906,small,1959,small,1355,604,545,0,0
0.35,10,0157,0.7013467124372854,0.7037625861155273,0.6989473684210527,1906,small,1887,small,1328,559,572,0,0
0.35,20,0157,0.7013467124372854,0.7037625861155273,0.6989473684210527,1906,small,1887,small,1328,559,572,0,0
0.3,10,0167,0.7842391992905106,0.7810725552050474,0.7874316244752576,7861,large,7925,large,6190,1735,1671,0,0
0.3,20,0167,0.7842391992905106,0.7810725552050474,0.7874316244752576,7861,large,7925,large,6190,1735,1671,0,0
0.35,10,0167,0.7824358974358975,0.7886031787052591,0.7763643302378832,7861,large,7739,large,6103,1636,1758,0,0
0.35,20,0167,0.7824358974358975,0.7886031787052591,0.7763643302378832,7861,large,7739,large,6103,1636,1758,0,0
0.3,10,0169,0.43469041560644617,0.38047512991833704,0.5069238377843719,2022,small,2694,small,1025,1669,997,0,0
0.3,20,0169,0.43469041560644617,0.38047512991833704,0.5069238377843719,2022,small,2694,small,1025,1669,997,0,0
0.35,10,0169,0.435451946338245,0.3920792079207921,0.4896142433234421,2022,small,2525,small,990,1535,1032,0,0
0.35,20,0169,0.435451946338245,0.3920792079207921,0.4896142433234421,2022,small,2525,small,990,1535,1032,0,0
0.3,10,0204,0.3298429319371728,0.628428927680798,0.2236024844720497,1128,small,401,tiny,252,149,875,0,0
0.3,20,0204,0.3298429319371728,0.628428927680798,0.2236024844720497,1128,small,401,tiny,252,149,875,0,0
0.35,10,0204,0.3253968253968254,0.638961038961039,0.21827861579414373,1128,small,385,tiny,246,139,881,0,0
0.35,20,0204,0.3253968253968254,0.638961038961039,0.21827861579414373,1128,small,385,tiny,246,139,881,0,0
0.3,10,0212,0.21333333333333335,0.3221476510067114,0.15946843853820597,605,tiny,298,tiny,96,202,506,0,0
0.3,20,0212,0.18510158013544017,0.2887323943661972,0.1362126245847176,605,tiny,284,tiny,82,202,520,0,0
0.35,10,0212,0.20342857142857143,0.326007326007326,0.1478405315614618,605,tiny,273,tiny,89,184,513,0,0
0.35,20,0212,0.18265895953757225,0.30038022813688214,0.13122923588039867,605,tiny,263,tiny,79,184,523,0,0
0.3,10,0220,0.5887509130752374,0.43995633187772926,0.8896247240618101,453,tiny,916,tiny,403,513,50,0,0
0.3,20,0220,0.5887509130752374,0.43995633187772926,0.8896247240618101,453,tiny,916,tiny,403,513,50,0,0
0.35,10,0220,0.59625468164794,0.4512471655328798,0.8785871964679912,453,tiny,882,tiny,398,484,55,0,0
0.35,20,0220,0.59625468164794,0.4512471655328798,0.8785871964679912,453,tiny,882,tiny,398,484,55,0,0
0.3,10,0308,0.6965048236596553,0.6806800618238021,0.7130829015544041,3110,small,3235,small,2202,1033,886,0,0
0.3,20,0308,0.6965048236596553,0.6806800618238021,0.7130829015544041,3110,small,3235,small,2202,1033,886,0,0
0.35,10,0308,0.6970086844644581,0.692332268370607,0.7017487046632125,3110,small,3130,small,2167,963,921,0,0
