threshold,min_component_voxels,n_cases,mean_dice_all,mean_dice_positive,mean_dice_gt50,n_positive,n_gt50,n_missed_positive,n_empty_false_positive,mean_dice_empty,n_empty,mean_dice_very_tiny,n_very_tiny,mean_dice_tiny,n_tiny,mean_dice_small,n_small,mean_dice_large,n_large
0.1,0,66,0.5431544422446377,0.5431544422446377,0.5440400556018197,66,64,1,0,nan,0,0.5148148148148148,2,0.3730180985921046,24,0.5415411449272545,18,0.7326540265279714,22
0.1,3,66,0.5422196242358639,0.5422196242358639,0.5430760245302717,66,64,3,0,nan,0,0.5148148148148148,2,0.3704665362117794,24,0.5414134230431634,18,0.7327375948217153,22
0.1,5,66,0.5421608928022228,0.5421608928022228,0.5428599587288683,66,64,4,0,nan,0,0.5197907831495618,2,0.369907741055645,24,0.5413946511925071,18,0.7327339932657712,22
0.15,0,66,0.5434821713738266,0.5434821713738266,0.5439708203309022,66,64,1,0,nan,0,0.5278454047474133,2,0.37284544657659474,24,0.5419279570580299,18,0.7323244798315875,22
0.15,3,66,0.5424776172929112,0.5424776172929112,0.5428918467909769,66,64,3,0,nan,0,0.529222273354809,2,0.370124825716239,24,0.5417898460426831,18,0.7322665976665675,22
0.15,5,66,0.5417909969656318,0.5417909969656318,0.5421837695784699,66,64,5,0,nan,0,0.529222273354809,2,0.3681796447781549,24,0.5419210228436657,18,0.7322214257800174,22
0.2,0,66,0.5422161890530773,0.5422161890530773,0.5426157344304265,66,64,2,0,nan,0,0.5294307369779068,2,0.36912275873369566,24,0.5421510336494436,18,0.7322610085567555,22
0.2,3,66,0.541802554601873,0.541802554601873,0.5421891739026218,66,64,4,0,nan,0,0.5294307369779068,2,0.36794261001609296,24,0.542233962320425,18,0.7322396894369964,22
0.2,5,66,0.5415397582499469,0.5415397582499469,0.541918165164698,66,64,5,0,nan,0,0.5294307369779068,2,0.36717528910450675,24,0.5423503034455792,18,0.7321931895460042,22
0.25,0,66,0.541781075412902,0.541781075412902,0.5414511273581754,66,64,2,0,nan,0,0.5523394131641555,2,0.3658278619976178,24,0.5420680546974614,18,0.7325353853830042,22
0.25,3,66,0.5415680047063092,0.5415680047063092,0.5412313981920014,66,64,4,0,nan,0,0.5523394131641555,2,0.3651901841670014,24,0.5421885681190999,18,0.7324932199152848,22
0.25,5,66,0.5414534448355786,0.5414534448355786,0.5411132583253105,66,64,5,0,nan,0,0.5523394131641555,2,0.36480884128710883,24,0.5422984726763759,18,0.7324756288070225,22
