threshold,min_component_voxels,case_id,dice,precision,recall,gt_voxels,gt_category,pred_voxels,pred_category,tp,fp,fn,missed_positive,empty_false_positive
0.35,0,0020,0.23737373737373738,0.3164983164983165,0.1898989898989899,495,tiny,297,tiny,94,203,401,0,0
0.35,3,0020,0.23737373737373738,0.3164983164983165,0.1898989898989899,495,tiny,297,tiny,94,203,401,0,0
0.35,5,0020,0.23737373737373738,0.3164983164983165,0.1898989898989899,495,tiny,297,tiny,94,203,401,0,0
0.35,10,0020,0.23737373737373738,0.3164983164983165,0.1898989898989899,495,tiny,297,tiny,94,203,401,0,0
0.35,20,0020,0.23737373737373738,0.3164983164983165,0.1898989898989899,495,tiny,297,tiny,94,203,401,0,0
0.4,0,0020,0.2366412213740458,0.31958762886597936,0.18787878787878787,495,tiny,291,tiny,93,198,402,0,0
0.4,3,0020,0.2366412213740458,0.31958762886597936,0.18787878787878787,495,tiny,291,tiny,93,198,402,0,0
0.4,5,0020,0.2366412213740458,0.31958762886597936,0.18787878787878787,495,tiny,291,tiny,93,198,402,0,0
0.4,10,0020,0.2366412213740458,0.31958762886597936,0.18787878787878787,495,tiny,291,tiny,93,198,402,0,0
0.4,20,0020,0.2366412213740458,0.31958762886597936,0.18787878787878787,495,tiny,291,tiny,93,198,402,0,0
0.45,0,0020,0.23136246786632392,0.31802120141342755,0.18181818181818182,495,tiny,283,tiny,90,193,405,0,0
0.45,3,0020,0.23136246786632392,0.31802120141342755,0.18181818181818182,495,tiny,283,tiny,90,193,405,0,0
0.45,5,0020,0.23136246786632392,0.31802120141342755,0.18181818181818182,495,tiny,283,tiny,90,193,405,0,0
0.45,10,0020,0.23136246786632392,0.31802120141342755,0.18181818181818182,495,tiny,283,tiny,90,193,405,0,0
0.45,20,0020,0.23136246786632392,0.31802120141342755,0.18181818181818182,495,tiny,283,tiny,90,193,405,0,0
0.5,0,0020,0.22337662337662337,0.31272727272727274,0.17373737373737375,495,tiny,275,tiny,86,189,409,0,0
0.5,3,0020,0.22337662337662337,0.31272727272727274,0.17373737373737375,495,tiny,275,tiny,86,189,409,0,0
0.5,5,0020,0.22337662337662337,0.31272727272727274,0.17373737373737375,495,tiny,275,tiny,86,189,409,0,0
0.5,10,0020,0.22337662337662337,0.31272727272727274,0.17373737373737375,495,tiny,275,tiny,86,189,409,0,0
0.5,20,0020,0.22337662337662337,0.31272727272727274,0.17373737373737375,495,tiny,275,tiny,86,189,409,0,0
0.55,0,0020,0.21903520208604954,0.3088235294117647,0.1696969696969697,495,tiny,272,tiny,84,188,411,0,0
0.55,3,0020,0.21903520208604954,0.3088235294117647,0.1696969696969697,495,tiny,272,tiny,84,188,411,0,0
0.55,5,0020,0.21903520208604954,0.3088235294117647,0.1696969696969697,495,tiny,272,tiny,84,188,411,0,0
0.55,10,0020,0.21903520208604954,0.3088235294117647,0.1696969696969697,495,tiny,272,tiny,84,188,411,0,0
0.55,20,0020,0.21903520208604954,0.3088235294117647,0.1696969696969697,495,tiny,272,tiny,84,188,411,0,0
0.35,0,0021,0.8287671232876712,0.7707006369426752,0.8962962962962963,135,tiny,157,tiny,121,36,14,0,0
0.35,3,0021,0.8344827586206897,0.7806451612903226,0.8962962962962963,135,tiny,155,tiny,121,34,14,0,0
