filepath,filename,scan_id,ftype,ext,size_mb,shape,ndim,dtype,vox_mm,min_val,max_val,mean_val,nonzero,n_dirs,error
/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0001_Lesion.nii.gz,scan_0001_Lesion.nii.gz,0001,Lesion,nii.gz,0.148,"(256, 256, 256)",3.0,float32,"(1.0, 1.0, 1.0)",0.0,1.0,0.0001,2150.0,,
/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0001_T1.nii.gz,scan_0001_T1.nii.gz,0001,T1,nii.gz,9.533,"(256, 256, 256)",3.0,float32,"(1.0, 1.0, 1.0)",0.0,1581.0,53.4589,5359214.0,,
/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0004_Lesion.nii.gz,scan_0004_Lesion.nii.gz,0004,Lesion,nii.gz,0.066,"(256, 256, 256)",3.0,float32,"(1.0, 1.0, 1.0)",0.0,1.0,0.0,833.0,,
/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0004_T1.nii.gz,scan_0004_T1.nii.gz,0004,T1,nii.gz,23.08,"(256, 256, 256)",3.0,float32,"(1.0, 1.0, 1.0)",0.0,834.4989,44.0503,6393489.0,,
/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0004_bval.txt,scan_0004_bval.txt,0004,bval,txt,0.0,"(1, 31)",1.0,float64,,0.0,700.0,,,,
/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0004_bvec.txt,scan_0004_bvec.txt,0004,bvec,txt,0.001,"(3, 31)",2.0,float64,,-0.9787,0.9793,,,,
/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0004_dMRI.nii.gz,scan_0004_dMRI.nii.gz,0004,dMRI,nii.gz,36.931,"(144, 132, 65, 31)",4.0,float32,"(2.0, 2.0, 2.0)",0.0,4095.0,45.5905,37804003.0,31.0,
/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0007_Lesion.nii.gz,scan_0007_Lesion.nii.gz,0007,Lesion,nii.gz,0.034,"(256, 256, 256)",3.0,float32,"(1.0, 1.0, 1.0)",0.0,1.0,0.0002,3253.0,,
/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0007_T1.nii.gz,scan_0007_T1.nii.gz,0007,T1,nii.gz,6.442,"(256, 256, 256)",3.0,float32,"(1.0, 1.0, 1.0)",0.0,6464.0645,236.8225,4566634.0,,
/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0016_Lesion.nii.gz,scan_0016_Lesion.nii.gz,0016,Lesion,nii.gz,0.033,"(256, 256, 256)",3.0,float32,"(1.0, 1.0, 1.0)",0.0,0.0,0.0,0.0,,
/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0016_T1.nii.gz,scan_0016_T1.nii.gz,0016,T1,nii.gz,14.301,"(256, 256, 256)",3.0,float32,"(1.0, 1.0, 1.0)",0.0,2758857.25,77010.4844,6177540.0,,
/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0016_bval.txt,scan_0016_bval.txt,0016,bval,txt,0.0,"(1, 65)",1.0,float64,,0.0,1000.0,,,,
/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0016_bvec.txt,scan_0016_bvec.txt,0016,bvec,txt,0.003,"(65, 3)",2.0,float64,,-0.9641,1.0,,,,
/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0016_dMRI.nii.gz,scan_0016_dMRI.nii.gz,0016,dMRI,nii.gz,85.775,"(128, 128, 75, 65)",4.0,float32,"(2.0, 2.0, 2.0)",0.0,2365.0,63.7521,79257177.0,65.0,
/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0017_Lesion.nii.gz,scan_0017_Lesion.nii.gz,0017,Lesion,nii.gz,0.033,"(256, 256, 256)",3.0,float32,"(1.0, 1.0, 1.0)",0.0,1.0,0.0,214.0,,
/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0017_T1.nii.gz,scan_0017_T1.nii.gz,0017,T1,nii.gz,13.004,"(256, 256, 256)",3.0,float32,"(1.0, 1.0, 1.0)",0.0,2285.0,81.6584,8238132.0,,
/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0019_Lesion.nii.gz,scan_0019_Lesion.nii.gz,0019,Lesion,nii.gz,0.034,"(256, 256, 256)",3.0,float32,"(1.0, 1.0, 1.0)",0.0,5.0,0.0001,1970.0,,
/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0019_T1.nii.gz,scan_0019_T1.nii.gz,0019,T1,nii.gz,22.19,"(256, 256, 256)",3.0,float32,"(1.0, 1.0, 1.0)",0.0,1520.088,59.2177,6235926.0,,
/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0019_bval.txt,scan_0019_bval.txt,0019,bval,txt,0.0,"(1, 31)",1.0,float64,,0.0,700.0,,,,
/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0019_bvec.txt,scan_0019_bvec.txt,0019,bvec,txt,0.001,"(3, 31)",2.0,float64,,-0.9933,0.971,,,,
/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0019_dMRI.nii.gz,scan_0019_dMRI.nii.gz,0019,dMRI,nii.gz,31.832,"(144, 132, 65, 31)",4.0,float32,"(2.0, 2.0, 2.0)",0.0,4095.0,38.9169,36052439.0,31.0,
/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0020_Lesion.nii.gz,scan_0020_Lesion.nii.gz,0020,Lesion,nii.gz,0.033,"(256, 256, 256)",3.0,float32,"(1.0, 1.0, 1.0)",0.0,1.0,0.0,495.0,,
